Cab Name,Source Lang,Target Lang,Lang Group:,FOD Area:,Installed based on
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,da-dk,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,el-gr,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,he-il,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,ru-ru,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,sr-cyrl-rs,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,th-th,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,uk-ua,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-es-Package.cab,es-es,es-es,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-mx,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-419,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-AR,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-BO,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-CL,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-CO,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-CR,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-DO,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-EC,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-GT,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-HN,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-NI,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-PA,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-PE,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-PR,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-PY,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-SV,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-US,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-UY,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-es-mx-Package.cab,es-mx,es-VE,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-et-ee-Package.cab,et-ee,et-ee,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-eu-es-Package.cab,eu-es,eu-es,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fa-ir-Package.cab,fa-ir,fa-ir,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fi-fi-Package.cab,fi-fi,fi-fi,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fil-ph-Package.cab,fil-ph,fil-ph,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fr-ca-Package.cab,fr-ca,fr-ca,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package.cab,fr-fr,fr-fr,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package.cab,fr-fr,fr-BE,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package.cab,fr-fr,fr-029,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package.cab,fr-fr,fr-LU,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package.cab,fr-fr,fr-MC,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package.cab,fr-fr,fr-CH,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ga-ie-Package.cab,ga-ie,ga-ie,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-gd-gb-Package.cab,gd-gb,gd-gb,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-gl-es-Package.cab,gl-es,gl-es,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-gu-in-Package.cab,gu-in,gu-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ha-latn-ng-Package.cab,ha-latn-ng,ha-latn-ng,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-haw-us-Package.cab,haw-us,haw-us,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-he-il-Package.cab,he-il,he-il,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-hi-in-Package.cab,hi-in,hi-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-hr-hr-Package.cab,hr-hr,hr-hr,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-hu-hu-Package.cab,hu-hu,hu-hu,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-hy-am-Package.cab,hy-am,hy-am,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-id-id-Package.cab,id-id,id-id,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ig-ng-Package.cab,ig-ng,ig-ng,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-is-is-Package.cab,is-is,is-is,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-it-it-Package.cab,it-it,it-it,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-it-it-Package.cab,it-it,it-CH,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ja-jp-Package.cab,ja-jp,ja-jp,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ka-ge-Package.cab,ka-ge,ka-ge,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-kk-kz-Package.cab,kk-kz,kk-kz,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-kl-gl-Package.cab,kl-gl,kl-gl,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-kn-in-Package.cab,kn-in,kn-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-kok-deva-in-Package.cab,kok-in,kok-deva-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-kok-deva-in-Package.cab,kok-in,kok,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-kok-deva-in-Package.cab,kok-in,kok-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ko-kr-Package.cab,ko-kr,ko-kr,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ky-kg-Package.cab,ky-kg,ky-kg,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-lb-lu-Package.cab,lb-lu,lb-lu,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-lt-lt-Package.cab,lt-lt,lt-lt,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-lv-lv-Package.cab,lv-lv,lv-lv,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-mi-nz-Package.cab,mi-nz,mi-nz,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-mk-mk-Package.cab,mk-mk,mk-mk,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ml-in-Package.cab,ml-in,ml-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-mn-mn-Package.cab,mn-mn,mn-mn,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-mr-in-Package.cab,mr-in,mr-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ms-bn-Package.cab,ms-bn,ms-bn,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ms-my-Package.cab,ms-my,ms-my,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-mt-mt-Package.cab,mt-mt,mt-mt,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-nb-no-Package.cab,nb-no,nb-no,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ne-np-Package.cab,ne-np,ne-np,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-nl-nl-Package.cab,nl-nl,nl-nl,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-nl-nl-Package.cab,nl-nl,nl-be,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-nn-no-Package.cab,nn-no,nn-no,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-nso-za-Package.cab,nso-za,nso-za,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-or-in-Package.cab,or-in,or-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-pa-in-Package.cab,pa-in,pa-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-pl-pl-Package.cab,pl-pl,pl-pl,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ps-af-Package.cab,ps-af,ps-af,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-pt-br-Package.cab,pt-br,pt-br,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-pt-pt-Package.cab,pt-pt,pt-pt,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-rm-ch-Package.cab,rm-ch,rm-ch,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ro-ro-Package.cab,ro-ro,ro-ro,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ro-ro-Package.cab,ro-ro,ro-md,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ru-ru-Package.cab,ru-ru,ru-ru,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-rw-rw-Package.cab,rw-rw,rw-rw,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sah-ru-Package.cab,sah-ru,sah-ru,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-si-lk-Package.cab,si-lk,si-lk,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sk-sk-Package.cab,sk-sk,sk-sk,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sl-si-Package.cab,sl-si,sl-si,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sq-al-Package.cab,sq-al,sq-al,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sr-cyrl-rs-Package.cab,sr-cyrl-rs,sr-cyrl-rs,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sr-cyrl-rs-Package.cab,sr-cyrl-rs,sr-cyrl-BA,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sr-cyrl-rs-Package.cab,sr-cyrl-rs,sr-cyrl-ME,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sr-latn-rs-Package.cab,sr-latn-rs,sr-latn-rs,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sr-latn-rs-Package.cab,sr-latn-rs,sr-latn-BA,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sr-latn-rs-Package.cab,sr-latn-rs,sr-latn-ME,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sv-se-Package.cab,sv-se,sv-se,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sv-se-Package.cab,sv-se,sv-fi,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-sw-ke-Package.cab,sw-ke,sw-ke,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ta-in-Package.cab,ta-in,ta-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ta-in-Package.cab,ta-in,ta-LK,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-te-in-Package.cab,te-in,te-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-tg-cyrl-tj-Package.cab,tg-cyrl-tj,tg-cyrl-tj,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-th-th-Package.cab,th-th,th-th,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-tk-tm-Package.cab,tk-tm,tk-tm,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-tn-za-Package.cab,tn-za,tn-za,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-tn-za-Package.cab,tn-za,tn-BW,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-tr-tr-Package.cab,tr-tr,tr-tr,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-tt-ru-Package.cab,tt-ru,tt-ru,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ug-cn-Package.cab,ug-cn,ug-cn,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-uk-ua-Package.cab,uk-ua,uk-ua,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ur-pk-Package.cab,ur-pk,ur-pk,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ur-pk-Package.cab,ur-pk,ur-IN,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-uz-latn-uz-Package.cab,uz-latn-uz,uz-latn-uz,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-vi-vn-Package.cab,vi-vn,vi-vn,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-wo-sn-Package.cab,wo-sn,wo-sn,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-xh-za-Package.cab,xh-za,xh-za,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-yo-ng-Package.cab,yo-ng,yo-ng,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-zh-cn-Package.cab,zh-cn,zh-cn,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-zh-hk-Package.cab,zh-tw,zh-hk,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-zh-tw-Package.cab,zh-tw,zh-tw,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-zu-za-Package.cab,zu-za,zu-za,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Handwriting-af-za-Package.cab,af-za,af-za,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-bs-latn-ba-Package.cab,bs-latn-ba,bs-latn-ba,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-ca-es-Package.cab,ca-es,ca-es,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-cs-cz-Package.cab,cs-cz,cs-cz,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-cy-gb-Package.cab,cy-gb,cy-gb,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-da-dk-Package.cab,da-dk,da-dk,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-de-de-Package.cab,de-de,de-at,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-de-de-Package.cab,de-de,de-ch,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-de-de-Package.cab,de-de,de-de,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-de-de-Package.cab,de-de,de-li,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-de-de-Package.cab,de-de,de-lu,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-el-gr-Package.cab,el-gr,el-gr,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-en-gb-Package.cab,en-gb,en-gb,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-en-gb-Package.cab,en-gb,en-au,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-en-gb-Package.cab,en-gb,en-in,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-en-us-Package.cab,en-us,en-us,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-en-us-Package.cab,en-us,en-ca,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-es-es-Package.cab,es-es,es-es,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-es-mx-Package.cab,es-mx,es-ar,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-es-mx-Package.cab,es-mx,es-mx,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-eu-es-Package.cab,eu-es,eu-es,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-fi-fi-Package.cab,fi-fi,fi-fi,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-fr-fr-Package.cab,fr-fr,fr-fr,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-ga-ie-Package.cab,ga-ie,ga-ie,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-gd-gb-Package.cab,gd-gb,gd-gb,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-gl-es-Package.cab,gl-es,gl-es,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-hi-in-Package.cab,hi-in,hi-in,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-hr-hr-Package.cab,hr-hr,hr-hr,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-id-id-Package.cab,id-id,id-id,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-it-it-Package.cab,it-it,it-it,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-ja-jp-Package.cab,ja-jp,ja-jp,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-ko-kr-Package.cab,ko-kr,ko-kr,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-lb-lu-Package.cab,lb-lu,lb-lu,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-mi-nz-Package.cab,mi-nz,mi-nz,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-ms-bn-Package.cab,ms-bn,ms-bn,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-ms-my-Package.cab,ms-my,ms-my,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-nb-no-Package.cab,nb-no,nb-no,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-nl-nl-Package.cab,nl-nl,nl-be,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-nl-nl-Package.cab,nl-nl,nl-nl,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-nn-no-Package.cab,nn-no,nn-no,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-nso-za-Package.cab,nso-za,nso-za,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-pl-pl-Package.cab,pl-pl,pl-pl,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-pt-br-Package.cab,pt-br,pt-br,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-pt-pt-Package.cab,pt-pt,pt-pt,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-rm-ch-Package.cab,rm-ch,rm-ch,,Handwriting,Installed LPs
